Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
Kindergarten Cop,PG-13,Action,Universal Pictures,15000000,5.411154,201957688,111,5.8,628,6.2,140000
The Break-Up,PG-13,Comedy,Universal Pictures,52000000,26.251217,204999686,106,5.6,832,5.8,128000
JFK,R,Drama,Warner Bros.,40000000,26.82041,205405498,189,7.5,502,8,146000
The Fast and the Furious,PG-13,Action,Universal Pictures,38000000,6.909942,207283925,106,6.6,3428,6.8,362000
Safe House,R,Action,Universal Pictures,85000000,34.773106,208076205,115,6.3,1345,6.7,211000
Tomorrowland,PG,Action,Walt Disney Pictures,190000000,130.311355,209154322,130,6.2,2846,6.4,175000
Due Date,R,Comedy,Warner Bros.,65000000,43.865294,211780824,95,6.2,1685,6.5,329000
Bedtime Stories,PG,Adventure,Walt Disney Pictures,80000000,23.531721,212874442,99,5.9,901,6,90000
Disclosure,R,Drama,Warner Bros.,55000000,15.064058,214015089,123,5.9,210,6.1,48000
The Bourne Identity,PG-13,Action,Universal Pictures,60000000,86.476817,214034224,119,7.3,3583,7.9,519000
The Sorcerer's Apprentice,PG,Action,Walt Disney Pictures,150000000,35.580815,215283742,109,5.8,1470,6.1,156000
Dracula Untold,PG-13,Action,Universal Pictures,70000000,64.457947,215529201,92,6.2,2389,6.3,184000
Twins,PG,Comedy,Universal Pictures,15000000,17.638286,216614388,107,5.7,559,6.1,117000
Million Dollar Baby,PG-13,Drama,Warner Bros.,30000000,70.456012,216763646,132,7.7,2439,8.1,650000
Ted 2,R,Comedy,Universal Pictures,68000000,68.734513,217022588,115,6.2,2463,6.3,191000
Jack Reacher,PG-13,Action,Paramount Pictures,60000000,56.868399,218340595,130,6.3,2998,7,317000
Knocked Up,R,Comedy,Universal Pictures,30000000,22.527211,219076518,129,6.2,1214,6.9,356000
It's Complicated,R,Comedy,Universal Pictures,85000000,16.479851,219103655,121,6.2,360,6.5,88000
Green Lantern,PG-13,Action,Warner Bros.,200000000,51.872839,219851172,114,5.1,2487,5.5,272000
Hansel & Gretel: Witch Hunters,R,Action,Paramount Pictures,50000000,53.02787,224803475,88,5.7,3239,6.1,198000
Yes Man,PG-13,Comedy,Warner Bros.,70000000,43.849351,225990978,104,6.4,1813,6.8,343000
The Lost World: Jurassic Park,PG-13,Action,Universal Pictures,73000000,2.502487,229074524,129,6.2,2487,6.6,388000
Mr. Bean's Holiday,G,Comedy,Universal Pictures,25000000,27.683874,229736344,90,6.1,663,6.4,119000
Get Smart,PG-13,Action,Warner Bros.,80000000,23.496054,230685453,110,6,1051,6.5,208000
American Wedding,R,Comedy,Universal Pictures,55000000,36.194802,231449203,103,6,1129,6.3,198000
American Reunion,R,Comedy,Universal Pictures,50000000,39.920035,234989584,113,6.1,1611,6.7,206000
American Pie,R,Comedy,Universal Pictures,11000000,60.767168,235483004,95,6.4,2296,7,385000
A.I. Artificial Intelligence,PG-13,Drama,Warner Bros.,100000000,34.035114,235926552,146,6.8,1974,7.2,295000
2 Fast 2 Furious,PG-13,Action,Universal Pictures,76000000,10.520961,236350661,107,6.2,2028,5.9,259000
Batman & Robin,PG-13,Action,Warner Bros.,125000000,50.073575,238207122,125,4.2,1418,3.8,238000
Daddy's Home,PG-13,Comedy,Paramount Pictures,50000000,38.616744,242786137,96,5.8,854,6.2,112000
Back to the Future Part III,PG,Adventure,Universal Pictures,40000000,45.769562,244527583,118,7.1,2900,7.4,416000
Love Actually,R,Comedy,Universal Pictures,40000000,37.073127,244931766,135,7,1869,7.6,444000
Hulk,PG-13,Action,Universal Pictures,137000000,34.981698,245360480,138,5.3,1533,5.6,255000
Dark Shadows,PG-13,Comedy,Warner Bros.,150000000,50.306728,245527149,113,5.7,2320,6.2,252000
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,Action,Paramount Pictures,135000000,39.873791,245623848,112,5.8,963,6,87000
You've Got Mail,PG,Comedy,Warner Bros.,65000000,28.540267,250821495,119,6.3,838,6.7,200000
True Grit,PG-13,Drama,Paramount Pictures,38000000,49.292384,252276927,110,7.2,1668,7.6,319000
Babe,G,Comedy,Universal Pictures,30000000,34.36645,254134910,89,6,733,6.8,119000
The Hangover Part II,R,Comedy,Warner Bros.,80000000,58.040149,254455986,102,6.2,3739,6.4,472000
Wanted,R,Action,Universal Pictures,75000000,73.82289,258270008,110,6.4,2528,6.7,369000
The Truman Show,PG,Comedy,Paramount Pictures,60000000,56.488027,264118201,103,7.8,4537,8.1,972000
Waterworld,PG-13,Action,Universal Pictures,175000000,44.640292,264218220,135,5.9,992,6.2,186000
Lara Croft: Tomb Raider,PG-13,Action,Paramount Pictures,115000000,41.498631,274703340,100,5.7,2192,5.8,201000
Scooby-Doo,PG,Adventure,Warner Bros.,84000000,31.435539,275650703,88,5.4,820,5.1,103000
The Bourne Legacy,PG-13,Action,Universal Pictures,130000000,90.33681,276572938,120,6,2651,6.6,290000
